Half of Bizcorp Data
InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1/18/2011 10:01,1.04,12346
C541433,23166,MEDIUM CERAMIC TOP STORAGE JAR,-74215,1/18/2011 10:17,1.04,12346
537626,85116,BLACK CANDELABRA T-LIGHT HOLDER,12,12/7/2010 14:57,2.1,12347
537626,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,12/7/2010 14:57,4.25,12347
537626,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,12,12/7/2010 14:57,3.25,12347
537626,22492,MINI PAINT SET VINTAGE ,36,12/7/2010 14:57,0.65,12347
537626,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/2010 14:57,1.25,12347
537626,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/2010 14:57,1.25,12347
537626,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/2010 14:57,1.25,12347
537626,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/2010 14:57,1.25,12347
537626,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,12/7/2010 14:57,1.25,12347
537626,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/2010 14:57,1.25,12347
537626,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,12/7/2010 14:57,3.75,12347
537626,22726,ALARM CLOCK BAKELIKE GREEN,4,12/7/2010 14:57,3.75,12347
537626,22727,ALARM CLOCK BAKELIKE RED ,4,12/7/2010 14:57,3.75,12347
537626,22728,ALARM CLOCK BAKELIKE PINK,4,12/7/2010 14:57,3.75,12347
537626,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/7/2010 14:57,3.75,12347
537626,22212,FOUR HOOK  WHITE LOVEBIRDS,6,12/7/2010 14:57,2.1,12347
537626,85167B,BLACK GRAND BAROQUE PHOTO FRAME,30,12/7/2010 14:57,1.25,12347
537626,21171,BATHROOM METAL SIGN ,12,12/7/2010 14:57,1.45,12347
537626,22195,LARGE HEART MEASURING SPOONS,12,12/7/2010 14:57,1.65,12347
